20230000	Jane Davis	20	55	78
20230001	Bob Johnson	40	29	52
20230002	Chris Johnson	73	57	51
20230003	Alice Johnson	52	8	24
20230004	Chris Davis	81	74	79
20230005	Bob Johnson	97	68	87
20230006	Bob Brown	32	6	62
20230007	Bob Smith	57	6	63
20230008	Jane Doe	100	53	49
20230009	Bob Doe	40	24	55
20230010	John Johnson	5	94	42
20230011	Alice Brown	53	87	81
20230012	Bob Brown	93	95	48
20230013	Bob Brown	57	4	94
20230014	John Davis	78	34	51
20230015	Chris Davis	37	2	13
20230016	Jane Davis	66	87	4
20230017	Bob Davis	87	61	92
20230018	John Brown	12	91	25
20230019	Alice Johnson	62	17	27
20230020	Bob Johnson	8	71	54
20230021	Jane Davis	83	8	91
20230022	John Doe	26	56	17
20230023	Bob Smith	88	3	52
20230024	Bob Doe	68	39	34
20230025	Jane Davis	95	4	30
20230026	John Johnson	9	52	83
20230027	Bob Davis	57	64	89
20230028	John Johnson	31	39	83
20230029	Jane Davis	33	80	60
20230030	Jane Brown	70	22	3
20230031	Jane Johnson	3	38	3
20230032	John Smith	23	74	54
20230033	John Johnson	82	93	94
20230034	Bob Doe	43	98	22
20230035	Jane Johnson	45	42	17
20230036	Alice Doe	85	60	26
20230037	John Smith	26	100	74
20230038	Chris Johnson	34	37	50
20230039	Chris Davis	49	10	50
20230040	John Smith	7	25	98
20230041	Bob Smith	62	35	64
20230042	Alice Smith	89	9	57
20230043	John Doe	80	89	85
20230044	Chris Johnson	1	18	21
20230045	Jane Smith	77	5	31
20230046	Alice Doe	68	66	64
20230047	Bob Johnson	28	50	27
20230048	John Davis	81	0	8
20230049	Chris Davis	87	41	7
20230050	Jane Doe	14	36	74
20230051	Jane Doe	11	74	46
20230052	Chris Johnson	94	93	28
20230053	Jane Davis	97	27	87
20230054	Jane Doe	70	74	41
20230055	Bob Doe	58	5	32
20230056	Chris Smith	42	21	35
20230057	Jane Smith	15	85	28
20230058	Alice Davis	18	54	21
20230059	Jane Brown	99	12	60
20230060	Alice Davis	23	66	74
20230061	John Smith	71	60	82
20230062	Alice Smith	61	16	13
20230063	Chris Doe	21	34	94
20230064	Jane Davis	76	39	67
20230065	Jane Davis	77	91	25
20230066	Bob Johnson	20	30	18
20230067	Chris Davis	62	93	86
20230068	Bob Doe	10	45	83
20230069	Bob Smith	70	62	52
20230070	Alice Davis	26	48	94
20230071	John Johnson	7	31	10
20230072	Alice Doe	23	18	86
20230073	John Johnson	53	43	67
20230074	John Johnson	35	31	13
20230075	Jane Brown	69	92	76
20230076	Jane Davis	41	34	33
20230077	Alice Brown	7	82	17
20230078	Bob Davis	76	5	25
20230079	John Davis	95	55	51
20230080	John Davis	25	0	2
20230081	John Johnson	45	71	14
20230082	Bob Brown	33	25	83
20230083	Chris Smith	64	58	12
20230084	Chris Smith	49	27	44
20230085	Jane Smith	24	38	52
20230086	Jane Brown	3	54	67
20230087	Jane Doe	67	5	85
20230088	Chris Brown	56	87	17
20230089	Alice Davis	70	1	85
20230090	John Doe	8	5	51
20230091	Jane Smith	59	60	67
20230092	Alice Doe	73	80	63
20230093	Alice Davis	96	63	31
20230094	Chris Brown	100	1	14
20230095	Bob Johnson	99	27	42
20230096	Jane Brown	8	54	0
20230097	Jane Brown	42	18	79
20230098	Chris Brown	52	30	82
20230099	Alice Doe	1	98	16
20230100	John Davis	92	100	88
20230101	Chris Doe	83	97	15
20230102	Chris Smith	63	68	22
20230103	Bob Smith	6	92	21
20230104	John Smith	59	92	54
20230105	Bob Johnson	87	60	88
20230106	John Smith	92	41	47
20230107	Jane Brown	83	64	89
20230108	Bob Brown	25	88	43
20230109	Chris Brown	24	3	72
20230110	John Smith	11	48	1
20230111	Alice Smith	2	79	15
20230112	Chris Brown	34	15	16
20230113	Bob Johnson	89	39	55
20230114	Jane Brown	67	100	27
20230115	Alice Johnson	23	6	49
20230116	John Doe	60	7	13
20230117	Chris Brown	98	43	0
20230118	Chris Davis	14	86	22
20230119	Bob Johnson	15	23	65
20230120	Alice Brown	72	99	31
20230121	Chris Brown	31	87	83
20230122	Alice Doe	11	45	93
